,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
458,1.0167,1.01837,1.01327,1.02084,1.01314,202683.0,1.01837,-0.005008002985162666,0.005008002985162666,0.5008002985162685,Down,slow recovery,49,post day,Friday,2015-01-09
459,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,,,,,Down,slow recovery,50,prior day,Friday,2014-12-26
460,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,slow recovery,50,prior day,Monday,2014-12-29
461,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,slow recovery,50,prior day,Tuesday,2014-12-30
462,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,slow recovery,50,outlier day,Wednesday,2014-12-31
463,,,,,,,,,,,,,50,post day,Thursday,2015-01-01
464,0.9988,0.99714,1.00076,1.00163,0.99602,151520.0,0.99368,0.00712503019080598,0.00712503019080598,0.7125030190805903,Up,slow recovery,50,post day,Friday,2015-01-02
465,1.0065,1.00573,1.00632,1.01074,1.00318,196521.0,1.00573,0.0005866385610453008,0.0005866385610453008,0.05866385610453495,Up,slow recovery,50,post day,Monday,2015-01-05
466,1.0077,1.00632,1.0115,1.01347,1.00403,197287.0,1.00632,0.0051474680022258945,0.0051474680022258945,0.5147468002225875,Up,slow recovery,50,post day,Tuesday,2015-01-06
467,1.0138,1.0115,1.01477,1.01746,1.00935,219122.0,1.0115,0.0032328225407809033,0.0032328225407809033,0.3232822540780944,Up,slow recovery,50,post day,Wednesday,2015-01-07
468,1.0181,1.01476,1.01837,1.02158,1.01357,175917.0,1.01477,0.0035476019196468635,0.0035476019196468635,0.3547601919646759,Up,slow recovery,50,post day,Thursday,2015-01-08
469,1.0167,1.01837,1.01327,1.02084,1.01314,202683.0,1.01837,-0.005008002985162666,0.005008002985162666,0.5008002985162685,Down,slow recovery,50,post day,Friday,2015-01-09
470,1.0077,1.00632,1.0115,1.01347,1.00403,197287.0,1.00632,0.0051474680022258945,0.0051474680022258945,0.5147468002225875,Up,fast recovery,51,prior day,Tuesday,2015-01-06
471,1.0138,1.0115,1.01477,1.01746,1.00935,219122.0,1.0115,0.0032328225407809033,0.0032328225407809033,0.3232822540780944,Up,fast recovery,51,prior day,Wednesday,2015-01-07
472,1.0181,1.01476,1.01837,1.02158,1.01357,175917.0,1.01477,0.0035476019196468635,0.0035476019196468635,0.3547601919646759,Up,fast recovery,51,prior day,Thursday,2015-01-08
