,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,source,outlier
134,80270,0.9137,0.91399,0.91244,0.91529,0.912159,80270,2023-11-27,0.91404,-0.0017504704389303912,0.0017504704389303912,historical,0
135,90704,0.9116,0.91246,0.90871,0.91451,0.9081,90704,2023-11-28,0.91244,-0.004087940028933422,0.004087940028933422,historical,0
136,92470,0.9104,0.90869,0.9112,0.91238,0.9074,92470,2023-11-29,0.90871,0.002740148122063136,0.002740148122063136,historical,0
137,97656,0.9154,0.91125,0.9181,0.91913,0.9102,97656,2023-11-30,0.9112,0.007572431957857789,0.007572431957857789,historical,0
138,97501,0.9188,0.91809,0.9179,0.92341,0.9161,97501,2023-12-01,0.9181,-0.00021784119376971786,0.00021784119376971786,historical,0
139,3,1.0315,1.088,0.9184,1.088,0.9184,3,2023-12-02,0.9179,0.0005447216472382013,0.0005447216472382013,historical,0
140,3528,0.9183,0.9188,0.91856,0.9191,0.91782,3528,2023-12-03,0.9184,0.0001742160278746178,0.0001742160278746178,historical,0
141,98003,0.9215,0.91854,0.9227,0.92557,0.9184,98003,2023-12-04,0.91856,0.004507054520118361,0.004507054520118361,historical,0
142,98526,0.9244,0.92269,0.9263,0.92781,0.921574,98526,2023-12-05,0.9227,0.003901593150536521,0.003901593150536521,historical,0
143,93293,0.927,0.92645,0.92879,0.92945,0.925241,93293,2023-12-06,0.9263,0.0026881140019432066,0.0026881140019432066,historical,0
144,106015,0.9275,0.92877,0.92677,0.92974,0.9242,106015,2023-12-07,0.92879,-0.0021748726838144486,0.0021748726838144486,historical,0
145,102995,0.9284,0.92675,0.9281,0.93244,0.9258,102995,2023-12-08,0.92677,0.0014350917703422137,0.0014350917703422137,historical,0
146,1434,0.9289,0.92966,0.92887,0.92966,0.92836,1434,2023-12-10,0.9281,0.0008296519771575664,0.0008296519771575664,historical,0
147,84162,0.9293,0.92886,0.92887,0.93092,0.9276,84162,2023-12-11,0.92887,0.0,0.0,historical,0
148,88924,0.927,0.92886,0.92603,0.92924,0.92337,88924,2023-12-12,0.92887,-0.0030574784415472065,0.0030574784415472065,historical,0
149,96731,0.925,0.92603,0.91886,0.92824,0.9175,96731,2023-12-13,0.92603,-0.007742729717179799,0.007742729717179799,historical,0
150,123989,0.914,0.91884,0.9096,0.91917,0.9081,123989,2023-12-14,0.91886,-0.010077704982260677,0.010077704982260677,historical,1
151,104355,0.9138,0.90956,0.9167,0.91836,0.9085,104355,2023-12-15,0.9096,0.007805628847845201,0.007805628847845201,historical,0
152,1541,0.9178,0.91678,0.91781,0.91807,0.91673,1541,2023-12-17,0.9167,0.001210865059452444,0.001210865059452444,historical,0
153,91693,0.9159,0.91783,0.91542,0.91791,0.914578,91693,2023-12-18,0.91781,-0.002604024798160843,0.002604024798160843,historical,0
154,95228,0.913,0.91543,0.91077,0.91615,0.909835,95228,2023-12-19,0.91542,-0.005079635577112192,0.005079635577112192,historical,0
155,92758,0.9126,0.91076,0.9136,0.9149,0.9107,92758,2023-12-20,0.91077,0.003107260889137762,0.003107260889137762,historical,0
156,97508,0.9112,0.9137,0.90858,0.91444,0.9078,97508,2023-12-21,0.9136,-0.005494746059544564,0.005494746059544564,historical,0
157,89398,0.9079,0.90858,0.9069,0.90957,0.905551,89398,2023-12-22,0.90858,-0.0018490391600079407,0.0018490391600079407,historical,0
158,1,0.9069,0.9069,0.9069,0.9069,0.9069,1,2023-12-24,0.9069,0.0,0.0,historical,0
159,6522,0.9078,0.9075,0.90747,0.9094,0.9016,6522,2023-12-25,0.9069,0.0006285147204763032,0.0006285147204763032,historical,0
